# Data from table T 01.01.8.02 'Population résidante selon le sexe et l'âge, en 2021' Situation 31st Dec 2021, Date de mise à jour : 11.03.2022
# Source : Office cantonal de la statistique - Statistique cantonale de la population (accessed 2022-04-25),,
# Age en années révolues,,
# Tidied by Nick Pullen (i.e. copy and paste into a more sensible format from above),,
Age,Sex,Total
0,Female,2308
1,Female,2372
2,Female,2562
3,Female,2560
4,Female,2615
5,Female,2675
6,Female,2558
7,Female,2809
8,Female,2518
9,Female,2598
10,Female,2557
11,Female,2662
12,Female,2585
13,Female,2602
14,Female,2662
15,Female,2551
16,Female,2651
17,Female,2788
18,Female,2615
19,Female,2685
20,Female,2860
21,Female,3087
22,Female,3144
23,Female,3209
24,Female,3400
25,Female,3371
26,Female,3431
27,Female,3524
28,Female,3643
29,Female,3740
30,Female,3834
31,Female,3833
32,Female,3847
33,Female,3876
34,Female,3826
35,Female,3875
36,Female,3850
37,Female,3960
38,Female,3843
39,Female,3918
40,Female,4003
41,Female,4023
42,Female,3869
43,Female,3883
44,Female,4000
45,Female,3855
46,Female,3959
47,Female,3905
48,Female,3886
49,Female,3906
50,Female,3712
51,Female,3873
52,Female,3705
53,Female,3769
54,Female,3751
55,Female,3771
56,Female,3803
57,Female,3892
58,Female,3500
59,Female,3431
60,Female,3176
61,Female,2987
62,Female,2946
63,Female,2628
64,Female,2476
65,Female,2399
66,Female,2260
67,Female,2305
68,Female,2210
69,Female,2133
70,Female,1992
71,Female,2189
72,Female,2057
73,Female,2216
74,Female,2268
75,Female,2156
76,Female,2063
77,Female,2154
78,Female,1994
79,Female,1930
80,Female,1752
81,Female,1530
82,Female,1492
83,Female,1441
84,Female,1344
85,Female,1167
86,Female,1124
87,Female,1073
88,Female,997
89,Female,858
90,Female,741
91,Female,717
92,Female,552
93,Female,443
94,Female,380
95,Female,276
96,Female,253
97,Female,183
98,Female,147
99,Female,100
100,Female,59
101,Female,36
102,Female,21
103,Female,9
104,Female,5
>= 105,Female,12
0,Male,2486
1,Male,2594
2,Male,2621
3,Male,2624
4,Male,2716
5,Male,2707
6,Male,2778
7,Male,2730
8,Male,2867
9,Male,2771
10,Male,2781
11,Male,2753
12,Male,2725
13,Male,2725
14,Male,2811
15,Male,2731
16,Male,2751
17,Male,2795
18,Male,2604
19,Male,2890
20,Male,2892
21,Male,3071
22,Male,3051
23,Male,3115
24,Male,3276
25,Male,3472
26,Male,3382
27,Male,3442
28,Male,3549
29,Male,3738
30,Male,3776
31,Male,3764
32,Male,3755
33,Male,3763
34,Male,3707
35,Male,3722
36,Male,3821
37,Male,3697
38,Male,3775
39,Male,3830
40,Male,3848
41,Male,3790
42,Male,3857
43,Male,3674
44,Male,3758
45,Male,3722
46,Male,3660
47,Male,3842
48,Male,3784
49,Male,3828
50,Male,3695
51,Male,3524
52,Male,3469
53,Male,3570
54,Male,3630
55,Male,3705
56,Male,3720
57,Male,3640
58,Male,3403
59,Male,3176
60,Male,3110
61,Male,2927
62,Male,2863
63,Male,2581
64,Male,2450
65,Male,2235
66,Male,2124
67,Male,1904
68,Male,1808
69,Male,1777
70,Male,1658
71,Male,1707
72,Male,1629
73,Male,1682
74,Male,1590
75,Male,1684
76,Male,1572
77,Male,1584
78,Male,1510
79,Male,1388
80,Male,1191
81,Male,1140
82,Male,1036
83,Male,975
84,Male,878
85,Male,809
86,Male,753
87,Male,634
88,Male,555
89,Male,481
90,Male,353
91,Male,344
92,Male,252
93,Male,207
94,Male,137
95,Male,107
96,Male,62
97,Male,43
98,Male,22
99,Male,21
100,Male,11
101,Male,12
102,Male,1
103,Male,3
104,Male,1
>= 105,Male,6
